period_start,period_end,namespace,persistentvolumeclaim_usage_bytes
2020-02-05 23:00:00 +0000 UTC,2020-02-06 00:00:00 +0000 UTC,openshift-logging,7260508061696.000000
2020-02-05 23:00:00 +0000 UTC,2020-02-06 00:00:00 +0000 UTC,openshift-metering,1672921088.000000
2020-02-06 00:00:00 +0000 UTC,2020-02-06 01:00:00 +0000 UTC,openshift-logging,7296483028992.000000
2020-02-06 00:00:00 +0000 UTC,2020-02-06 01:00:00 +0000 UTC,openshift-metering,1730863104.000000
2020-02-06 01:00:00 +0000 UTC,2020-02-06 02:00:00 +0000 UTC,openshift-logging,7373094805504.000000
2020-02-06 01:00:00 +0000 UTC,2020-02-06 02:00:00 +0000 UTC,openshift-metering,1738883072.000000
2020-02-06 02:00:00 +0000 UTC,2020-02-06 03:00:00 +0000 UTC,openshift-logging,7436046270464.000000
2020-02-06 02:00:00 +0000 UTC,2020-02-06 03:00:00 +0000 UTC,openshift-metering,1740095488.000000
2020-02-06 03:00:00 +0000 UTC,2020-02-06 04:00:00 +0000 UTC,openshift-logging,7500706955264.000000
2020-02-06 03:00:00 +0000 UTC,2020-02-06 04:00:00 +0000 UTC,openshift-metering,1741209600.000000
2020-02-06 04:00:00 +0000 UTC,2020-02-06 05:00:00 +0000 UTC,openshift-logging,7567980527616.000000
2020-02-06 04:00:00 +0000 UTC,2020-02-06 05:00:00 +0000 UTC,openshift-metering,1781211136.000000
2020-02-06 05:00:00 +0000 UTC,2020-02-06 06:00:00 +0000 UTC,openshift-logging,7636200341504.000000
2020-02-06 05:00:00 +0000 UTC,2020-02-06 06:00:00 +0000 UTC,openshift-metering,1804369920.000000
2020-02-06 06:00:00 +0000 UTC,2020-02-06 07:00:00 +0000 UTC,openshift-logging,7713446068224.000000
2020-02-06 06:00:00 +0000 UTC,2020-02-06 07:00:00 +0000 UTC,openshift-metering,1804369920.000000
2020-02-06 07:00:00 +0000 UTC,2020-02-06 08:00:00 +0000 UTC,openshift-logging,7770969079808.000000
2020-02-06 07:00:00 +0000 UTC,2020-02-06 08:00:00 +0000 UTC,openshift-metering,1804369920.000000
2020-02-06 08:00:00 +0000 UTC,2020-02-06 09:00:00 +0000 UTC,openshift-logging,7834669236224.000000
2020-02-06 08:00:00 +0000 UTC,2020-02-06 09:00:00 +0000 UTC,openshift-metering,1829634048.000000
2020-02-06 09:00:00 +0000 UTC,2020-02-06 10:00:00 +0000 UTC,openshift-logging,7879459045376.000000
2020-02-06 09:00:00 +0000 UTC,2020-02-06 10:00:00 +0000 UTC,openshift-metering,1867530240.000000
2020-02-06 10:00:00 +0000 UTC,2020-02-06 11:00:00 +0000 UTC,openshift-logging,8059402715136.000000
2020-02-06 10:00:00 +0000 UTC,2020-02-06 11:00:00 +0000 UTC,openshift-metering,1867530240.000000
2020-02-06 11:00:00 +0000 UTC,2020-02-06 12:00:00 +0000 UTC,openshift-logging,8061807583232.000000
2020-02-06 11:00:00 +0000 UTC,2020-02-06 12:00:00 +0000 UTC,openshift-metering,1867530240.000000
2020-02-06 12:00:00 +0000 UTC,2020-02-06 13:00:00 +0000 UTC,openshift-logging,8143032614912.000000
2020-02-06 12:00:00 +0000 UTC,2020-02-06 13:00:00 +0000 UTC,openshift-metering,1880162304.000000
2020-02-06 13:00:00 +0000 UTC,2020-02-06 14:00:00 +0000 UTC,openshift-logging,8186174603264.000000
2020-02-06 13:00:00 +0000 UTC,2020-02-06 14:00:00 +0000 UTC,openshift-metering,1930690560.000000
2020-02-06 14:00:00 +0000 UTC,2020-02-06 15:00:00 +0000 UTC,openshift-logging,8235409477632.000000
2020-02-06 14:00:00 +0000 UTC,2020-02-06 15:00:00 +0000 UTC,openshift-metering,1930690560.000000
2020-02-06 15:00:00 +0000 UTC,2020-02-06 16:00:00 +0000 UTC,openshift-logging,8261768933376.000000
2020-02-06 15:00:00 +0000 UTC,2020-02-06 16:00:00 +0000 UTC,openshift-metering,1930690560.000000
2020-02-06 16:00:00 +0000 UTC,2020-02-06 17:00:00 +0000 UTC,openshift-logging,8297051217920.000000
2020-02-06 16:00:00 +0000 UTC,2020-02-06 17:00:00 +0000 UTC,openshift-metering,1930690560.000000
2020-02-06 17:00:00 +0000 UTC,2020-02-06 18:00:00 +0000 UTC,openshift-logging,8343781863424.000000
2020-02-06 17:00:00 +0000 UTC,2020-02-06 18:00:00 +0000 UTC,openshift-metering,1993850880.000000
2020-02-06 18:00:00 +0000 UTC,2020-02-06 19:00:00 +0000 UTC,openshift-logging,8432929144832.000000
2020-02-06 18:00:00 +0000 UTC,2020-02-06 19:00:00 +0000 UTC,openshift-metering,1993850880.000000
2020-02-06 19:00:00 +0000 UTC,2020-02-06 20:00:00 +0000 UTC,openshift-logging,8494411186176.000000
2020-02-06 19:00:00 +0000 UTC,2020-02-06 20:00:00 +0000 UTC,openshift-metering,1993850880.000000
2020-02-06 20:00:00 +0000 UTC,2020-02-06 21:00:00 +0000 UTC,openshift-logging,8542053634048.000000
2020-02-06 20:00:00 +0000 UTC,2020-02-06 21:00:00 +0000 UTC,openshift-metering,1993850880.000000
2020-02-06 21:00:00 +0000 UTC,2020-02-06 22:00:00 +0000 UTC,openshift-logging,8619990159360.000000
2020-02-06 21:00:00 +0000 UTC,2020-02-06 22:00:00 +0000 UTC,openshift-metering,2041221120.000000
2020-02-06 22:00:00 +0000 UTC,2020-02-06 23:00:00 +0000 UTC,openshift-logging,8686622060544.000000
2020-02-06 22:00:00 +0000 UTC,2020-02-06 23:00:00 +0000 UTC,openshift-metering,2057011200.000000
2020-02-06 23:00:00 +0000 UTC,2020-02-07 00:00:00 +0000 UTC,openshift-logging,8769895620608.000000
2020-02-06 23:00:00 +0000 UTC,2020-02-07 00:00:00 +0000 UTC,openshift-metering,2057011200.000000
2020-02-07 00:00:00 +0000 UTC,2020-02-07 01:00:00 +0000 UTC,openshift-logging,8779804237824.000000
2020-02-07 00:00:00 +0000 UTC,2020-02-07 01:00:00 +0000 UTC,openshift-metering,2059583488.000000
2020-02-07 01:00:00 +0000 UTC,2020-02-07 02:00:00 +0000 UTC,openshift-logging,8851469496320.000000
2020-02-07 01:00:00 +0000 UTC,2020-02-07 02:00:00 +0000 UTC,openshift-metering,2116276224.000000
2020-02-07 02:00:00 +0000 UTC,2020-02-07 03:00:00 +0000 UTC,openshift-logging,8915247325184.000000
2020-02-07 02:00:00 +0000 UTC,2020-02-07 03:00:00 +0000 UTC,openshift-metering,2125086720.000000
2020-02-07 03:00:00 +0000 UTC,2020-02-07 04:00:00 +0000 UTC,openshift-logging,8984844660736.000000
2020-02-07 03:00:00 +0000 UTC,2020-02-07 04:00:00 +0000 UTC,openshift-metering,2125086720.000000
2020-02-07 04:00:00 +0000 UTC,2020-02-07 05:00:00 +0000 UTC,openshift-logging,9048811577344.000000
2020-02-07 04:00:00 +0000 UTC,2020-02-07 05:00:00 +0000 UTC,openshift-metering,2125086720.000000
2020-02-07 05:00:00 +0000 UTC,2020-02-07 06:00:00 +0000 UTC,openshift-logging,9106576658432.000000
2020-02-07 05:00:00 +0000 UTC,2020-02-07 06:00:00 +0000 UTC,openshift-metering,1769455616.000000
2020-02-07 06:00:00 +0000 UTC,2020-02-07 07:00:00 +0000 UTC,openshift-logging,9179623641088.000000
2020-02-07 06:00:00 +0000 UTC,2020-02-07 07:00:00 +0000 UTC,openshift-metering,1620049920.000000
2020-02-07 07:00:00 +0000 UTC,2020-02-07 08:00:00 +0000 UTC,openshift-logging,9245403176960.000000
2020-02-07 07:00:00 +0000 UTC,2020-02-07 08:00:00 +0000 UTC,openshift-metering,1620049920.000000
2020-02-07 08:00:00 +0000 UTC,2020-02-07 09:00:00 +0000 UTC,openshift-logging,9306746421248.000000
2020-02-07 08:00:00 +0000 UTC,2020-02-07 09:00:00 +0000 UTC,openshift-metering,1620049920.000000
2020-02-07 09:00:00 +0000 UTC,2020-02-07 10:00:00 +0000 UTC,openshift-logging,9441608388608.000000
2020-02-07 09:00:00 +0000 UTC,2020-02-07 10:00:00 +0000 UTC,openshift-metering,1647419392.000000
2020-02-07 10:00:00 +0000 UTC,2020-02-07 11:00:00 +0000 UTC,openshift-logging,9545896202240.000000
2020-02-07 10:00:00 +0000 UTC,2020-02-07 11:00:00 +0000 UTC,openshift-metering,1683210240.000000
2020-02-07 11:00:00 +0000 UTC,2020-02-07 12:00:00 +0000 UTC,openshift-logging,9533000769536.000000
2020-02-07 11:00:00 +0000 UTC,2020-02-07 12:00:00 +0000 UTC,openshift-metering,1683210240.000000
2020-02-07 12:00:00 +0000 UTC,2020-02-07 13:00:00 +0000 UTC,openshift-logging,9569987792896.000000
2020-02-07 12:00:00 +0000 UTC,2020-02-07 13:00:00 +0000 UTC,openshift-metering,1683210240.000000
2020-02-07 13:00:00 +0000 UTC,2020-02-07 14:00:00 +0000 UTC,openshift-logging,9644365791232.000000
2020-02-07 13:00:00 +0000 UTC,2020-02-07 14:00:00 +0000 UTC,openshift-metering,1701105664.000000
2020-02-07 14:00:00 +0000 UTC,2020-02-07 15:00:00 +0000 UTC,openshift-logging,9696088236032.000000
2020-02-07 14:00:00 +0000 UTC,2020-02-07 15:00:00 +0000 UTC,openshift-metering,1746370560.000000
2020-02-07 15:00:00 +0000 UTC,2020-02-07 16:00:00 +0000 UTC,openshift-logging,9853399965696.000000
2020-02-07 15:00:00 +0000 UTC,2020-02-07 16:00:00 +0000 UTC,openshift-metering,1746370560.000000
2020-02-07 16:00:00 +0000 UTC,2020-02-07 17:00:00 +0000 UTC,openshift-logging,9845881729024.000000
2020-02-07 16:00:00 +0000 UTC,2020-02-07 17:00:00 +0000 UTC,openshift-metering,1746370560.000000
2020-02-07 17:00:00 +0000 UTC,2020-02-07 18:00:00 +0000 UTC,openshift-logging,9902064263168.000000
2020-02-07 17:00:00 +0000 UTC,2020-02-07 18:00:00 +0000 UTC,openshift-metering,1754791936.000000
2020-02-07 18:00:00 +0000 UTC,2020-02-07 19:00:00 +0000 UTC,openshift-logging,9945001943040.000000
2020-02-07 18:00:00 +0000 UTC,2020-02-07 19:00:00 +0000 UTC,openshift-metering,1809530880.000000
2020-02-07 19:00:00 +0000 UTC,2020-02-07 20:00:00 +0000 UTC,openshift-logging,10042639069184.000000
2020-02-07 19:00:00 +0000 UTC,2020-02-07 20:00:00 +0000 UTC,openshift-metering,1809530880.000000
2020-02-07 20:00:00 +0000 UTC,2020-02-07 21:00:00 +0000 UTC,openshift-logging,10086733209600.000000
2020-02-07 20:00:00 +0000 UTC,2020-02-07 21:00:00 +0000 UTC,openshift-metering,1809530880.000000
2020-02-07 21:00:00 +0000 UTC,2020-02-07 22:00:00 +0000 UTC,openshift-logging,10157561901056.000000
2020-02-07 21:00:00 +0000 UTC,2020-02-07 22:00:00 +0000 UTC,openshift-metering,1809530880.000000
2020-02-07 22:00:00 +0000 UTC,2020-02-07 23:00:00 +0000 UTC,openshift-logging,10218263703552.000000
2020-02-07 22:00:00 +0000 UTC,2020-02-07 23:00:00 +0000 UTC,openshift-metering,1872691200.000000
2020-02-07 22:00:00 +0000 UTC,2020-02-07 23:00:00 +0000 UTC,tnhlex-dev,18480009216.000000
2020-02-07 23:00:00 +0000 UTC,2020-02-08 00:00:00 +0000 UTC,openshift-logging,10392494469120.000000
2020-02-07 23:00:00 +0000 UTC,2020-02-08 00:00:00 +0000 UTC,openshift-metering,1872691200.000000
2020-02-07 23:00:00 +0000 UTC,2020-02-08 00:00:00 +0000 UTC,tnhlex-dev,20171833344.000000
2020-02-08 00:00:00 +0000 UTC,2020-02-08 01:00:00 +0000 UTC,openshift-logging,10356689584128.000000
2020-02-08 00:00:00 +0000 UTC,2020-02-08 01:00:00 +0000 UTC,openshift-metering,1877917696.000000
2020-02-08 00:00:00 +0000 UTC,2020-02-08 01:00:00 +0000 UTC,tnhlex-dev,20183392256.000000
2020-02-08 01:00:00 +0000 UTC,2020-02-08 02:00:00 +0000 UTC,openshift-logging,10389214707712.000000
2020-02-08 01:00:00 +0000 UTC,2020-02-08 02:00:00 +0000 UTC,openshift-metering,1894625280.000000
2020-02-08 01:00:00 +0000 UTC,2020-02-08 02:00:00 +0000 UTC,tnhlex-dev,20194979840.000000
2020-02-08 02:00:00 +0000 UTC,2020-02-08 03:00:00 +0000 UTC,openshift-logging,10441416130560.000000
2020-02-08 02:00:00 +0000 UTC,2020-02-08 03:00:00 +0000 UTC,openshift-metering,1942224896.000000
2020-02-08 02:00:00 +0000 UTC,2020-02-08 03:00:00 +0000 UTC,tnhlex-dev,20206567424.000000
2020-02-08 03:00:00 +0000 UTC,2020-02-08 04:00:00 +0000 UTC,openshift-logging,10532324007936.000000
2020-02-08 03:00:00 +0000 UTC,2020-02-08 04:00:00 +0000 UTC,openshift-metering,1943961600.000000
2020-02-08 03:00:00 +0000 UTC,2020-02-08 04:00:00 +0000 UTC,tnhlex-dev,20218155008.000000
2020-02-08 04:00:00 +0000 UTC,2020-02-08 05:00:00 +0000 UTC,openshift-logging,10569261223936.000000
2020-02-08 04:00:00 +0000 UTC,2020-02-08 05:00:00 +0000 UTC,openshift-metering,1943961600.000000
2020-02-08 04:00:00 +0000 UTC,2020-02-08 05:00:00 +0000 UTC,tnhlex-dev,20229738496.000000
2020-02-08 05:00:00 +0000 UTC,2020-02-08 06:00:00 +0000 UTC,openshift-logging,10641794797568.000000
2020-02-08 05:00:00 +0000 UTC,2020-02-08 06:00:00 +0000 UTC,openshift-metering,1943961600.000000
2020-02-08 05:00:00 +0000 UTC,2020-02-08 06:00:00 +0000 UTC,tnhlex-dev,20241260544.000000
2020-02-08 06:00:00 +0000 UTC,2020-02-08 07:00:00 +0000 UTC,openshift-logging,10709231980544.000000
2020-02-08 06:00:00 +0000 UTC,2020-02-08 07:00:00 +0000 UTC,openshift-metering,1977778176.000000
2020-02-08 06:00:00 +0000 UTC,2020-02-08 07:00:00 +0000 UTC,tnhlex-dev,20252839936.000000
2020-02-08 07:00:00 +0000 UTC,2020-02-08 08:00:00 +0000 UTC,openshift-logging,10772752801792.000000
2020-02-08 07:00:00 +0000 UTC,2020-02-08 08:00:00 +0000 UTC,openshift-metering,2007367680.000000
2020-02-08 07:00:00 +0000 UTC,2020-02-08 08:00:00 +0000 UTC,tnhlex-dev,20264517632.000000
2020-02-08 08:00:00 +0000 UTC,2020-02-08 09:00:00 +0000 UTC,openshift-logging,10831893954560.000000
2020-02-08 08:00:00 +0000 UTC,2020-02-08 09:00:00 +0000 UTC,openshift-metering,2007367680.000000
2020-02-08 08:00:00 +0000 UTC,2020-02-08 09:00:00 +0000 UTC,tnhlex-dev,20276015104.000000
2020-02-08 09:00:00 +0000 UTC,2020-02-08 10:00:00 +0000 UTC,openshift-logging,10884318654464.000000
2020-02-08 09:00:00 +0000 UTC,2020-02-08 10:00:00 +0000 UTC,openshift-metering,2007367680.000000
2020-02-08 09:00:00 +0000 UTC,2020-02-08 10:00:00 +0000 UTC,tnhlex-dev,20287713280.000000
2020-02-08 10:00:00 +0000 UTC,2020-02-08 11:00:00 +0000 UTC,openshift-logging,10963952066560.000000
2020-02-08 10:00:00 +0000 UTC,2020-02-08 11:00:00 +0000 UTC,openshift-metering,2007367680.000000
2020-02-08 10:00:00 +0000 UTC,2020-02-08 11:00:00 +0000 UTC,tnhlex-dev,20299366400.000000
2020-02-08 11:00:00 +0000 UTC,2020-02-08 12:00:00 +0000 UTC,openshift-logging,11116892925952.000000
2020-02-08 11:00:00 +0000 UTC,2020-02-08 12:00:00 +0000 UTC,openshift-metering,2053685248.000000
2020-02-08 11:00:00 +0000 UTC,2020-02-08 12:00:00 +0000 UTC,tnhlex-dev,20310929408.000000
2020-02-08 12:00:00 +0000 UTC,2020-02-08 13:00:00 +0000 UTC,openshift-logging,11139969597440.000000
2020-02-08 12:00:00 +0000 UTC,2020-02-08 13:00:00 +0000 UTC,openshift-metering,2070528000.000000
2020-02-08 12:00:00 +0000 UTC,2020-02-08 13:00:00 +0000 UTC,tnhlex-dev,20322623488.000000
2020-02-08 13:00:00 +0000 UTC,2020-02-08 14:00:00 +0000 UTC,openshift-logging,11175122374656.000000
2020-02-08 13:00:00 +0000 UTC,2020-02-08 14:00:00 +0000 UTC,openshift-metering,2070528000.000000
2020-02-08 13:00:00 +0000 UTC,2020-02-08 14:00:00 +0000 UTC,tnhlex-dev,20334153728.000000
2020-02-08 14:00:00 +0000 UTC,2020-02-08 15:00:00 +0000 UTC,openshift-logging,11281427132416.000000
2020-02-08 14:00:00 +0000 UTC,2020-02-08 15:00:00 +0000 UTC,openshift-metering,2070528000.000000
2020-02-08 14:00:00 +0000 UTC,2020-02-08 15:00:00 +0000 UTC,tnhlex-dev,20345733120.000000
2020-02-08 15:00:00 +0000 UTC,2020-02-08 16:00:00 +0000 UTC,openshift-logging,11290186833920.000000
2020-02-08 15:00:00 +0000 UTC,2020-02-08 16:00:00 +0000 UTC,openshift-metering,2073686016.000000
2020-02-08 15:00:00 +0000 UTC,2020-02-08 16:00:00 +0000 UTC,tnhlex-dev,20357320704.000000
2020-02-08 16:00:00 +0000 UTC,2020-02-08 17:00:00 +0000 UTC,openshift-logging,11316705599488.000000
2020-02-08 16:00:00 +0000 UTC,2020-02-08 17:00:00 +0000 UTC,openshift-metering,2133688320.000000
2020-02-08 16:00:00 +0000 UTC,2020-02-08 17:00:00 +0000 UTC,tnhlex-dev,20368838656.000000
2020-02-08 17:00:00 +0000 UTC,2020-02-08 18:00:00 +0000 UTC,openshift-logging,11400856842240.000000
2020-02-08 17:00:00 +0000 UTC,2020-02-08 18:00:00 +0000 UTC,openshift-metering,2133688320.000000
2020-02-08 17:00:00 +0000 UTC,2020-02-08 18:00:00 +0000 UTC,tnhlex-dev,20380340224.000000
2020-02-08 18:00:00 +0000 UTC,2020-02-08 19:00:00 +0000 UTC,openshift-logging,11439640252416.000000
2020-02-08 18:00:00 +0000 UTC,2020-02-08 19:00:00 +0000 UTC,openshift-metering,2133688320.000000
2020-02-08 18:00:00 +0000 UTC,2020-02-08 19:00:00 +0000 UTC,tnhlex-dev,20391911424.000000
2020-02-08 19:00:00 +0000 UTC,2020-02-08 20:00:00 +0000 UTC,openshift-logging,11541896126464.000000
2020-02-08 19:00:00 +0000 UTC,2020-02-08 20:00:00 +0000 UTC,openshift-metering,2133688320.000000
2020-02-08 19:00:00 +0000 UTC,2020-02-08 20:00:00 +0000 UTC,tnhlex-dev,20403372032.000000
2020-02-08 20:00:00 +0000 UTC,2020-02-08 21:00:00 +0000 UTC,openshift-logging,11560457166848.000000
2020-02-08 20:00:00 +0000 UTC,2020-02-08 21:00:00 +0000 UTC,openshift-metering,2155794432.000000
2020-02-08 20:00:00 +0000 UTC,2020-02-08 21:00:00 +0000 UTC,tnhlex-dev,20414799872.000000
2020-02-08 21:00:00 +0000 UTC,2020-02-08 22:00:00 +0000 UTC,openshift-logging,11641297543168.000000
2020-02-08 21:00:00 +0000 UTC,2020-02-08 22:00:00 +0000 UTC,openshift-metering,2196848640.000000
2020-02-08 21:00:00 +0000 UTC,2020-02-08 22:00:00 +0000 UTC,tnhlex-dev,13172674560.000000
2020-02-08 22:00:00 +0000 UTC,2020-02-08 23:00:00 +0000 UTC,openshift-logging,11686124101632.000000
2020-02-08 22:00:00 +0000 UTC,2020-02-08 23:00:00 +0000 UTC,openshift-metering,2196848640.000000
2020-02-08 22:00:00 +0000 UTC,2020-02-08 23:00:00 +0000 UTC,tnhlex-dev,20166250496.000000
2020-02-08 23:00:00 +0000 UTC,2020-02-09 00:00:00 +0000 UTC,openshift-logging,11775331946496.000000
